Time,PM10(μg/m³),PM2.5(μg/m³),CO2(ppm),Temperature(°C),Humidity(%)
29/12/2021 20:15,1,1,421,18.98,56.32
29/12/2021 20:30,2,1,423,18.96,56.33
29/12/2021 20:45,0,0,427,18.98,56.31
29/12/2021 21:00,3,3,427,18.96,56.37
29/12/2021 21:15,2,2,430,18.92,56.34
29/12/2021 21:30,3,2,428,18.91,56.46
29/12/2021 21:45,8,5,431,18.92,56.49
29/12/2021 22:00,2,2,431,18.88,56.55
29/12/2021 22:15,3,3,432,18.88,56.6
29/12/2021 22:30,3,2,434,18.86,56.79
29/12/2021 22:45,1,1,435,18.86,56.79
29/12/2021 23:00,5,5,440,18.84,56.86
29/12/2021 23:15,4,2,444,18.81,57.01
29/12/2021 23:30,1,1,445,18.81,57.13
29/12/2021 23:45,4,4,447,18.79,57.26
30/12/2021 00:00,2,2,450,18.77,57.44
30/12/2021 00:15,2,2,447,18.77,57.46
30/12/2021 00:30,4,2,450,18.76,57.6
30/12/2021 00:45,1,1,450,18.73,57.78
30/12/2021 01:00,1,1,452,18.75,57.96
30/12/2021 01:15,1,1,450,18.75,58.03
30/12/2021 01:30,2,2,450,18.74,58.19
30/12/2021 01:45,0,0,449,18.72,58.38
30/12/2021 02:00,1,1,449,18.72,58.55
30/12/2021 02:15,1,1,446,18.71,58.7
30/12/2021 02:30,0,0,442,18.72,58.81
30/12/2021 02:45,0,0,445,18.69,59.02
30/12/2021 03:00,1,1,445,18.71,59.19
30/12/2021 03:15,1,1,445,18.69,59.32
30/12/2021 03:30,0,0,443,18.71,59.49
30/12/2021 03:45,0,0,442,18.74,59.54
30/12/2021 04:00,0,0,444,18.73,59.62
30/12/2021 04:15,0,0,443,18.71,59.8
30/12/2021 04:30,0,0,442,18.72,59.89
30/12/2021 04:45,0,0,442,18.72,60.08
30/12/2021 05:00,0,0,442,18.68,60.31
30/12/2021 05:15,0,0,441,18.68,60.33
30/12/2021 05:30,0,0,440,18.68,60.44
30/12/2021 05:45,1,1,440,18.67,60.52
30/12/2021 06:00,0,0,440,18.68,60.72
30/12/2021 06:15,0,0,440,18.71,60.75
30/12/2021 06:30,0,0,438,18.73,60.87
30/12/2021 06:45,0,0,440,18.72,61.03
30/12/2021 07:00,0,0,441,18.73,61.17
30/12/2021 07:15,0,0,437,18.71,61.28
30/12/2021 07:30,0,0,439,18.72,61.3
30/12/2021 07:45,0,0,438,18.71,61.49
30/12/2021 08:00,0,0,437,18.74,61.59
30/12/2021 08:15,0,0,438,18.72,61.61
30/12/2021 08:30,0,0,440,18.71,61.68
30/12/2021 08:45,0,0,439,18.71,61.71
30/12/2021 09:00,0,0,437,18.71,61.82
30/12/2021 09:15,0,0,440,18.73,61.89
30/12/2021 09:30,0,0,437,18.71,61.93
30/12/2021 09:45,0,0,438,18.71,61.99
30/12/2021 10:00,0,0,440,18.73,62.07
30/12/2021 10:15,0,0,440,18.68,62.21
30/12/2021 10:30,0,0,441,18.67,62.35
30/12/2021 10:45,1,1,442,18.67,62.37
30/12/2021 11:00,0,0,444,18.69,62.5
30/12/2021 11:15,0,0,446,18.67,62.52
30/12/2021 11:30,0,0,447,18.67,62.62
30/12/2021 11:45,0,0,448,18.68,62.71
30/12/2021 12:00,0,0,449,18.71,62.75
30/12/2021 12:15,0,0,451,18.69,62.74
30/12/2021 12:30,0,0,452,18.72,62.83
30/12/2021 12:45,0,0,454,18.75,62.99
30/12/2021 13:00,0,0,455,18.73,63.05
30/12/2021 13:15,0,0,460,18.75,63.12
30/12/2021 13:30,0,0,460,18.77,63.18
30/12/2021 13:45,0,0,460,18.78,63.22
30/12/2021 14:00,0,0,460,18.77,63.37
30/12/2021 14:15,0,0,464,18.8,63.39
30/12/2021 14:30,0,0,468,18.8,63.5
30/12/2021 14:45,0,0,467,18.79,63.6
30/12/2021 15:00,0,0,467,18.78,63.68
30/12/2021 15:15,0,0,466,18.81,63.7
30/12/2021 15:30,0,0,465,18.82,63.86
30/12/2021 15:45,0,0,466,18.82,63.95
30/12/2021 16:00,0,0,466,18.84,63.93
30/12/2021 16:15,0,0,467,18.87,64.02
30/12/2021 16:30,0,0,467,18.84,64.06
30/12/2021 16:45,0,0,469,18.86,64.15
30/12/2021 17:00,0,0,469,18.9,64.17
30/12/2021 17:15,0,0,468,18.88,64.21
30/12/2021 17:30,0,0,467,18.9,64.25
30/12/2021 17:45,0,0,467,18.88,64.29
30/12/2021 18:00,0,0,465,18.88,64.37
30/12/2021 18:15,0,0,469,18.86,64.4
30/12/2021 18:30,0,0,467,18.89,64.39
30/12/2021 18:45,0,0,468,18.88,64.44
30/12/2021 19:00,0,0,469,18.89,64.41
30/12/2021 19:15,0,0,472,18.88,64.38
30/12/2021 19:30,0,0,467,18.86,64.59
30/12/2021 19:45,0,0,473,18.86,64.67
30/12/2021 20:00,0,0,474,18.84,64.71
30/12/2021 20:15,0,0,477,18.84,64.75
30/12/2021 20:30,0,0,478,18.81,64.84
30/12/2021 20:45,0,0,479,18.85,64.83
30/12/2021 21:00,0,0,480,18.84,64.82
30/12/2021 21:15,0,0,481,18.87,64.73
30/12/2021 21:30,0,0,481,18.88,64.74
30/12/2021 21:45,0,0,481,18.86,64.76
30/12/2021 22:00,0,0,426,18.4,65.79
30/12/2021 22:15,0,0,555,18.32,67.6
30/12/2021 22:30,0,0,634,19.08,66.3
30/12/2021 22:45,0,0,681,19.5,65.3
30/12/2021 23:00,0,0,806,19.72,65.59
30/12/2021 23:15,0,0,904,19.84,65.88
30/12/2021 23:30,0,0,912,20.08,65.05
30/12/2021 23:45,0,0,867,20.02,64.66
31/12/2021 00:00,2,2,941,20.07,67.45
31/12/2021 00:15,1,1,889,19.99,67.74
31/12/2021 00:30,0,0,822,19.89,67.61
31/12/2021 00:45,1,1,765,19.81,67.35
31/12/2021 01:00,0,0,722,19.76,67.09
31/12/2021 01:15,0,0,692,19.72,66.91
31/12/2021 01:30,0,0,765,19.9,67.21
31/12/2021 01:45,0,0,791,19.94,66.81
31/12/2021 02:00,0,0,806,19.98,66.28
31/12/2021 02:15,0,0,826,20,66.38
31/12/2021 02:30,0,0,891,19.94,66.29
31/12/2021 02:45,0,0,902,19.79,66.5
31/12/2021 03:00,0,0,898,19.73,66.53
31/12/2021 03:15,0,0,887,19.68,66.55
31/12/2021 03:30,0,0,878,19.65,66.74
31/12/2021 03:45,0,0,875,19.64,67.03
31/12/2021 04:00,0,0,870,19.63,66.95
31/12/2021 04:15,0,0,869,19.64,67.06
31/12/2021 04:30,0,0,863,19.63,67.26
31/12/2021 04:45,0,0,857,19.61,67.36
31/12/2021 05:00,0,0,855,19.64,67.37
31/12/2021 05:15,0,0,850,19.66,67.51
31/12/2021 05:30,0,0,855,19.64,67.59
31/12/2021 05:45,0,0,850,19.67,67.62
31/12/2021 06:00,0,0,843,19.66,67.46
31/12/2021 06:15,0,0,837,19.67,67.46
31/12/2021 06:30,0,0,836,19.65,67.59
31/12/2021 06:45,0,0,837,19.67,67.47
31/12/2021 07:00,0,0,835,19.65,67.46
31/12/2021 07:15,0,0,826,19.66,67.51
31/12/2021 07:30,0,0,819,19.7,67.33
31/12/2021 07:45,0,0,824,19.66,67.37
31/12/2021 08:00,0,0,823,19.67,67.38
31/12/2021 08:15,0,0,827,19.66,67.43
31/12/2021 08:30,0,0,818,19.69,67.25
31/12/2021 08:45,0,0,818,19.67,67.24
31/12/2021 09:00,0,0,815,19.67,67.18
