,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_log_phase,1.219,0.147,0.945,1.492,0.005,0.003,1023.0,1619.0,1.0
log_phase_raw[0.0],-1.229,0.588,-2.302,-0.155,0.012,0.01,2374.0,2295.0,1.0
log_phase_raw[1.0],-0.145,0.558,-1.201,0.881,0.013,0.012,1809.0,1604.0,1.0
log_phase_raw[2.0],0.359,0.567,-0.641,1.488,0.013,0.013,2082.0,1682.0,1.0
log_phase_raw[3.0],-0.276,0.567,-1.356,0.762,0.013,0.012,1964.0,1869.0,1.01
log_phase_raw[4.0],-1.165,0.595,-2.227,-0.018,0.012,0.012,2518.0,1988.0,1.0
log_phase_raw[5.0],-0.706,0.572,-1.862,0.307,0.012,0.012,2240.0,1885.0,1.0
log_phase_raw[6.0],0.289,0.547,-0.741,1.282,0.013,0.012,1834.0,1878.0,1.0
log_phase_raw[7.0],0.488,0.572,-0.603,1.531,0.014,0.011,1726.0,1986.0,1.0
log_phase_raw[8.0],1.119,0.701,-0.17,2.485,0.014,0.013,2532.0,2198.0,1.0
log_phase_raw[9.0],0.603,0.56,-0.443,1.617,0.012,0.01,2171.0,2348.0,1.0
log_phase_raw[10.0],0.171,0.609,-0.954,1.306,0.013,0.014,2291.0,1550.0,1.0
log_phase_raw[11.0],0.534,0.556,-0.601,1.475,0.014,0.01,1698.0,1958.0,1.0
log_phase_raw[12.0],0.385,0.569,-0.662,1.503,0.013,0.012,1878.0,1772.0,1.0
log_phase_raw[13.0],0.461,0.552,-0.679,1.421,0.012,0.012,2247.0,1980.0,1.0
log_phase_raw[14.0],-1.059,0.615,-2.165,0.075,0.011,0.012,3259.0,1935.0,1.0
log_phase_raw[15.0],0.549,0.557,-0.526,1.575,0.012,0.013,2268.0,1890.0,1.0
log_phase_raw[16.0],0.503,0.582,-0.654,1.475,0.014,0.014,1762.0,1495.0,1.0
log_phase_raw[17.0],1.141,0.701,-0.202,2.484,0.014,0.015,2608.0,1868.0,1.0
log_phase_raw[18.0],-0.48,0.606,-1.638,0.592,0.012,0.013,2638.0,1885.0,1.0
log_phase_raw[19.0],1.142,0.708,-0.229,2.453,0.015,0.014,2172.0,1927.0,1.0
log_phase_raw[20.0],0.54,0.571,-0.535,1.605,0.014,0.012,1748.0,1665.0,1.0
log_phase_raw[21.0],0.422,0.562,-0.639,1.436,0.014,0.015,1664.0,1697.0,1.0
log_phase_raw[22.0],1.11,0.736,-0.168,2.632,0.015,0.016,2519.0,2005.0,1.0
log_phase_raw[23.0],-1.82,0.609,-2.965,-0.689,0.013,0.011,2226.0,1767.0,1.0
log_phase_raw[24.0],0.483,0.553,-0.56,1.477,0.012,0.011,2063.0,1947.0,1.0
log_phase_raw[25.0],0.5,0.551,-0.516,1.557,0.013,0.013,1919.0,1647.0,1.0
log_phase_raw[26.0],-1.262,0.591,-2.398,-0.228,0.012,0.011,2494.0,1936.0,1.0
log_phase_raw[27.0],-0.564,0.551,-1.566,0.435,0.012,0.011,2279.0,2010.0,1.0
log_phase_raw[28.0],1.135,0.698,-0.15,2.497,0.014,0.013,2516.0,1776.0,1.0
log_phase_raw[29.0],0.018,0.548,-1.099,0.963,0.012,0.011,2155.0,1808.0,1.0
log_phase_raw[30.0],0.582,0.576,-0.503,1.648,0.014,0.013,1718.0,1709.0,1.0
log_phase_raw[31.0],0.376,0.539,-0.606,1.404,0.012,0.012,2040.0,1940.0,1.0
log_phase_raw[32.0],-1.762,0.627,-2.949,-0.704,0.014,0.011,2220.0,1976.0,1.0
log_phase_raw[33.0],-0.897,0.585,-1.97,0.213,0.013,0.011,2014.0,1808.0,1.0
log_phase_raw[34.0],-0.409,0.546,-1.464,0.585,0.012,0.01,2127.0,1892.0,1.0
Intercept,0.703,0.127,0.459,0.941,0.003,0.002,1389.0,1751.0,1.0
session_init[A0],-0.251,0.403,-1.012,0.5,0.007,0.008,3220.0,2371.0,1.0
session_init[B0],0.218,0.454,-0.637,1.029,0.008,0.008,3269.0,2474.0,1.0
session_init[A1],-0.276,0.397,-1.062,0.412,0.007,0.008,2992.0,2250.0,1.0
session_init[B1],-0.045,0.494,-0.957,0.885,0.008,0.008,3377.0,2370.0,1.0
session_init[A2],0.569,0.36,-0.07,1.242,0.007,0.007,2563.0,2296.0,1.0
session_init[B2],-0.079,0.506,-1.007,0.865,0.009,0.01,3207.0,1999.0,1.0
session_init[A3],-0.038,0.368,-0.764,0.627,0.007,0.007,2701.0,2271.0,1.0
session_init[B3],-0.036,0.475,-0.904,0.856,0.008,0.009,3691.0,2315.0,1.0
session_init[A4],0.396,0.368,-0.271,1.061,0.007,0.008,2963.0,2241.0,1.0
session_init[B4],0.198,0.442,-0.679,0.973,0.008,0.007,3053.0,2539.0,1.0
session_init[A5],1.172,0.339,0.528,1.803,0.008,0.006,2012.0,1689.0,1.0
session_init[B5],0.058,0.49,-0.864,0.946,0.009,0.009,3044.0,2248.0,1.0
session_init[A6],0.384,0.365,-0.297,1.048,0.008,0.008,2303.0,1907.0,1.0
session_init[B6],-0.068,0.502,-1.006,0.87,0.008,0.009,3983.0,1954.0,1.0
session_init[A7],-0.826,0.425,-1.608,-0.028,0.008,0.007,3137.0,2063.0,1.0
session_init[B7],-0.097,0.497,-0.998,0.864,0.008,0.01,4183.0,2111.0,1.0
session_init[A8],-0.832,0.406,-1.616,-0.097,0.008,0.007,2804.0,2357.0,1.0
session_init[B8],-0.099,0.504,-1.012,0.837,0.008,0.009,3821.0,2405.0,1.0
session_init[A9],-0.869,0.421,-1.598,-0.015,0.007,0.008,3889.0,2135.0,1.0
session_init[B9],-0.072,0.503,-0.99,0.876,0.008,0.01,4529.0,2280.0,1.0
session_init[A10],-0.677,0.422,-1.473,0.102,0.008,0.009,2854.0,2060.0,1.0
session_init[B10],-0.081,0.493,-0.978,0.877,0.008,0.009,3719.0,2116.0,1.0
session_init[A11],-0.773,0.424,-1.556,0.026,0.008,0.007,2728.0,2319.0,1.0
session_init[B11],-0.084,0.503,-1.024,0.858,0.008,0.009,3563.0,2183.0,1.0
session_init[A12],-0.754,0.425,-1.53,0.044,0.007,0.009,3322.0,2203.0,1.0
session_init[B12],-0.082,0.496,-0.996,0.875,0.008,0.011,3642.0,1821.0,1.0
session_init[A13],0.225,0.364,-0.458,0.912,0.007,0.006,2614.0,2177.0,1.0
session_init[B13],-0.071,0.49,-0.982,0.868,0.008,0.009,3797.0,2322.0,1.0
session_init[A14],0.222,0.367,-0.488,0.87,0.007,0.006,2756.0,2397.0,1.0
session_init[B14],0.171,0.472,-0.735,1.055,0.008,0.01,3680.0,2033.0,1.0
session_init[A15],-0.883,0.425,-1.655,-0.071,0.008,0.008,3147.0,2230.0,1.0
session_init[B15],-0.087,0.518,-1.02,0.906,0.009,0.01,3425.0,2215.0,1.0
session_init[A16],-0.752,0.435,-1.521,0.095,0.007,0.008,3829.0,2324.0,1.0
session_init[B16],-0.095,0.494,-0.983,0.887,0.009,0.01,3091.0,2193.0,1.0
session_init[A17],-0.356,0.393,-1.116,0.351,0.008,0.007,2671.0,2022.0,1.0
session_init[B17],-0.086,0.491,-0.996,0.823,0.008,0.009,3378.0,2033.0,1.0
session_init[A18],-0.352,0.389,-1.035,0.44,0.008,0.007,2574.0,2032.0,1.0
session_init[B18],0.015,0.48,-0.908,0.905,0.009,0.008,3206.0,2102.0,1.0
session_init[A19],-0.222,0.388,-0.932,0.507,0.007,0.007,2838.0,2018.0,1.0
session_init[B19],-0.082,0.504,-1.028,0.875,0.009,0.01,3417.0,2064.0,1.0
session_init[A20],-0.885,0.424,-1.655,-0.057,0.007,0.008,3261.0,2179.0,1.0
session_init[B20],-0.089,0.508,-1.071,0.805,0.009,0.01,3051.0,1974.0,1.0
session_init[A21],0.599,0.35,-0.033,1.27,0.007,0.006,2542.0,2189.0,1.0
session_init[B21],-0.07,0.486,-1.038,0.796,0.008,0.009,4060.0,2139.0,1.0
session_init[A22],-0.225,0.38,-0.905,0.488,0.007,0.007,2798.0,2035.0,1.0
session_init[B22],-0.077,0.489,-1.003,0.806,0.009,0.01,2909.0,1964.0,1.0
session_init[A23],0.4,0.356,-0.261,1.068,0.007,0.006,2682.0,2319.0,1.0
session_init[B23],0.554,0.414,-0.162,1.378,0.008,0.008,2837.0,2174.0,1.0
session_init[A24],1.544,0.318,0.988,2.16,0.007,0.005,2322.0,2146.0,1.0
session_init[B24],-0.082,0.496,-1.061,0.76,0.008,0.009,3716.0,2243.0,1.0
session_init[A25],0.255,0.365,-0.391,0.962,0.007,0.006,2873.0,2182.0,1.0
session_init[B25],-0.081,0.515,-1.02,0.878,0.007,0.011,4796.0,2281.0,1.0
session_init[A26],0.162,0.354,-0.484,0.823,0.007,0.006,2707.0,2139.0,1.0
session_init[B26],0.234,0.457,-0.645,1.071,0.008,0.01,3690.0,2368.0,1.0
session_init[A27],0.543,0.357,-0.111,1.219,0.007,0.006,2572.0,2003.0,1.0
session_init[B27],0.027,0.499,-0.864,0.974,0.009,0.009,3171.0,2335.0,1.0
session_init[A28],-0.687,0.408,-1.429,0.115,0.007,0.007,3189.0,2360.0,1.0
session_init[B28],-0.091,0.495,-1.015,0.808,0.009,0.009,3226.0,2215.0,1.0
session_init[A29],-0.045,0.373,-0.787,0.631,0.007,0.007,2701.0,2057.0,1.0
session_init[B29],-0.063,0.492,-0.904,0.922,0.008,0.009,3490.0,1956.0,1.0
session_init[A30],0.735,0.352,0.041,1.361,0.007,0.007,2302.0,1878.0,1.0
session_init[B30],-0.094,0.495,-0.972,0.838,0.008,0.009,3651.0,2201.0,1.0
session_init[A31],-0.208,0.398,-0.885,0.616,0.007,0.007,3048.0,2384.0,1.0
session_init[B31],-0.073,0.503,-1.071,0.83,0.008,0.01,3884.0,2013.0,1.0
session_init[A32],-0.047,0.386,-0.795,0.664,0.007,0.007,2703.0,2246.0,1.0
session_init[B32],0.53,0.426,-0.312,1.293,0.009,0.008,2485.0,2041.0,1.0
session_init[A33],0.892,0.347,0.267,1.542,0.007,0.006,2352.0,1978.0,1.0
session_init[B33],0.107,0.475,-0.839,0.93,0.009,0.009,2899.0,2163.0,1.0
session_init[A34],1.275,0.335,0.648,1.894,0.007,0.006,2193.0,2072.0,1.0
session_init[B34],0.006,0.484,-0.899,0.929,0.008,0.009,3851.0,2516.0,1.0
innovations[0],-0.374,0.908,-2.166,1.204,0.015,0.019,3482.0,2262.0,1.0
innovations[1],-0.559,0.932,-2.329,1.091,0.015,0.017,3635.0,2213.0,1.0
innovations[2],-0.474,0.895,-2.15,1.2,0.015,0.018,3436.0,2080.0,1.0
innovations[3],-0.45,0.914,-2.14,1.252,0.015,0.018,3849.0,2134.0,1.0
innovations[4],-0.513,0.91,-2.258,1.162,0.014,0.019,4525.0,2125.0,1.0
innovations[5],-0.248,0.917,-1.868,1.53,0.014,0.018,4085.0,2427.0,1.0
innovations[6],-0.311,0.955,-2.016,1.53,0.014,0.019,4354.0,2092.0,1.0
innovations[7],-0.464,0.961,-2.262,1.255,0.016,0.017,3519.0,2155.0,1.0
innovations[8],-0.605,0.948,-2.32,1.147,0.015,0.019,4159.0,2341.0,1.0
innovations[9],-0.474,0.927,-2.118,1.294,0.015,0.018,3895.0,2045.0,1.0
innovations[10],-0.287,0.952,-2.168,1.353,0.017,0.019,3245.0,2255.0,1.0
innovations[11],-0.172,0.935,-1.847,1.595,0.015,0.018,3822.0,2151.0,1.0
innovations[12],-0.058,0.933,-1.813,1.672,0.015,0.017,3652.0,2205.0,1.0
innovations[13],0.043,0.899,-1.507,1.839,0.015,0.016,3823.0,2457.0,1.0
innovations[14],-0.171,0.922,-1.866,1.645,0.015,0.017,3966.0,2145.0,1.0
innovations[15],-0.094,0.958,-1.964,1.637,0.015,0.018,4175.0,2229.0,1.0
innovations[16],-0.361,0.965,-2.077,1.516,0.016,0.02,3720.0,1921.0,1.0
innovations[17],-0.245,0.936,-2.036,1.421,0.015,0.017,4152.0,2324.0,1.0
innovations[18],-0.205,0.942,-2.034,1.466,0.014,0.017,4272.0,2397.0,1.0
innovations[19],-0.121,0.942,-1.895,1.61,0.016,0.017,3609.0,2299.0,1.0
innovations[20],0.015,0.934,-1.807,1.656,0.015,0.018,4204.0,2218.0,1.0
innovations[21],0.084,0.944,-1.689,1.839,0.015,0.018,4067.0,2419.0,1.0
innovations[22],0.135,0.958,-1.632,1.88,0.015,0.023,3817.0,1952.0,1.0
innovations[23],0.228,0.962,-1.62,1.998,0.016,0.02,3749.0,2080.0,1.0
innovations[24],0.33,0.936,-1.444,2.022,0.015,0.017,3665.0,2419.0,1.0
innovations[25],0.365,0.96,-1.326,2.239,0.016,0.021,3419.0,1887.0,1.0
innovations[26],0.515,0.934,-1.27,2.287,0.014,0.018,4672.0,2392.0,1.0
innovations[27],0.663,0.929,-1.093,2.388,0.016,0.019,3520.0,2094.0,1.0
innovations[28],0.817,0.967,-0.974,2.605,0.018,0.02,2887.0,2012.0,1.0
innovations[29],1.047,0.947,-0.617,2.9,0.014,0.017,4434.0,2161.0,1.0
innovations[30],0.659,0.918,-0.921,2.502,0.015,0.017,3773.0,2203.0,1.0
innovations[31],0.694,0.909,-0.998,2.393,0.015,0.017,3563.0,2266.0,1.0
innovations[32],0.444,0.888,-1.294,2.018,0.013,0.017,4713.0,2087.0,1.0
innovations[33],0.365,0.884,-1.141,2.172,0.015,0.018,3565.0,1971.0,1.0
innovations[34],0.279,0.897,-1.396,2.003,0.014,0.018,3971.0,1920.0,1.0
innovations[35],0.269,0.869,-1.27,2.018,0.014,0.017,3982.0,2078.0,1.0
innovations[36],-0.087,0.875,-1.782,1.508,0.016,0.015,3154.0,2136.0,1.0
innovations[37],-0.009,0.852,-1.611,1.556,0.014,0.015,3918.0,2336.0,1.0
innovations[38],0.051,0.877,-1.51,1.716,0.015,0.016,3346.0,2240.0,1.0
