Intercept,mean_phase_effect,sigma_log_phase,sigma_level,alpha
504,661,26,498,567
498,815,786,195,647
185,791,738,874,347
755,344,670,634,547
888,533,45,974,648
539,886,687,453,428
967,436,901,33,888
888,438,72,915,136
546,750,890,21,945
246,523,490,194,223
645,605,680,166,587
476,472,141,768,989
222,113,117,539,68
128,259,574,288,66
653,314,803,249,373
315,624,273,634,790
480,254,306,312,347
498,525,923,621,74
207,512,812,776,272
953,919,445,669,767
959,891,676,555,334
317,845,884,984,888
607,100,593,302,285
793,676,669,546,432
693,987,460,274,939
200,261,977,180,401
645,560,895,857,532
134,86,403,988,769
763,430,926,752,564
837,537,249,160,311
332,666,43,568,956
954,970,849,22,702
673,910,787,69,455
899,758,446,709,154
743,553,40,639,729
123,624,99,518,334
728,40,451,510,698
833,424,257,142,230
165,624,20,599,381
499,177,401,175,932
628,299,857,251,580
652,942,915,300,717
478,368,656,547,775
292,777,55,671,124
53,549,459,817,321
418,278,461,686,888
510,16,76,137,647
97,165,962,435,627
298,541,998,499,807
883,746,249,872,989
649,681,526,533,157
530,697,384,293,669
261,283,407,871,935
295,268,911,354,230
614,663,359,139,963
950,723,634,548,150
672,931,151,750,494
845,837,195,768,428
947,529,808,810,788
618,191,129,916,488
339,28,935,306,722
497,944,923,203,411
786,414,625,172,361
268,383,60,6,24
132,167,644,359,194
179,741,762,677,514
16,472,580,854,684
15,338,413,967,848
108,933,553,272,405
733,207,861,761,503
365,250,970,518,162
949,571,365,539,561
502,781,52,425,220
815,892,117,695,308
891,675,598,659,85
31,312,551,377,185
301,365,198,623,104
75,299,690,225,910
241,681,878,658,886
165,663,741,427,902
296,328,928,464,98
843,335,573,90,107
989,1000,646,712,716
642,506,721,662,629
0,91,821,925,939
0,28,655,787,309
315,389,299,751,392
299,819,872,683,863
924,814,362,509,907
383,580,641,283,377
794,451,726,930,433
794,507,964,479,707
48,856,398,964,684
907,564,359,177,700
819,559,702,578,0
793,688,75,251,756
689,798,847,95,442
626,642,722,326,524
564,348,934,148,676
265,262,591,200,124
421,489,26,133,22
917,887,493,97,121
67,882,19,180,52
1000,624,497,447,645
231,240,338,115,145
47,13,437,378,238
278,639,913,519,795
307,531,109,336,48
140,649,772,993,971
212,515,376,156,249
897,455,844,889,787
480,736,764,843,761
109,301,194,562,403
653,653,439,242,586
33,233,239,538,434
131,652,900,488,525
538,150,998,448,98
668,163,111,635,84
590,425,356,265,611
421,492,930,481,666
458,595,762,543,751
618,285,283,821,749
31,954,916,92,484
555,25,502,168,521
190,336,624,412,565
795,538,200,899,992
810,153,964,425,269
795,812,740,384,874
183,583,102,55,414
680,950,639,341,846
973,633,892,641,130
179,35,455,417,623
560,436,66,915,746
608,777,692,7,263
39,206,24,226,827
639,394,948,351,814
518,302,718,748,693
139,803,174,989,878
615,103,729,912,186
812,54,540,450,315
71,577,730,304,43
788,75,999,634,880
147,525,55,495,843
523,16,727,64,658
612,24,834,224,263
492,596,369,357,17
406,471,715,210,409
427,116,420,232,452
305,380,180,401,174
247,528,775,60,490
523,648,589,510,196
507,140,977,676,281
63,680,536,962,344
400,605,596,228,168
446,729,504,181,209
549,450,125,257,540
133,153,252,415,36
902,759,285,566,465
549,898,197,286,386
649,895,672,216,518
926,941,198,336,374
26,12,733,522,150
642,90,21,254,981
119,360,19,96,48
272,389,414,719,880
820,857,936,581,446
124,11,574,681,961
909,848,681,972,373
628,610,816,192,813
926,937,146,773,592
159,488,102,590,51
948,997,927,822,960
275,52,922,637,782
270,747,822,495,481
760,173,40,212,345
978,921,73,545,445
502,900,704,394,471
232,117,948,450,506
191,39,122,546,679
800,500,220,218,282
933,972,34,680,885
933,844,652,993,645
961,842,466,799,527
142,506,813,135,255
231,389,208,691,425
489,255,133,158,806
662,699,894,424,152
594,700,389,325,39
55,423,663,990,952
287,464,934,281,350
645,862,670,312,199
75,462,739,297,811
609,503,447,154,222
914,864,925,484,830
876,496,247,160,730
595,175,981,560,407
472,289,176,631,138
192,553,864,41,452
494,306,296,371,941
527,731,788,229,469
701,398,767,503,375
19,73,349,191,155
337,892,593,445,159
306,467,213,964,675
234,734,170,272,26
753,505,351,3,879
662,717,985,593,832
167,167,303,995,715
295,504,937,378,776
227,746,129,236,459
792,842,429,521,727
562,423,237,685,896
572,870,571,414,633
945,224,977,82,932
568,811,736,20,206
377,115,286,411,755
748,953,774,509,658
684,776,366,701,611
161,945,266,544,518
510,866,238,879,424
675,528,620,641,246
49,548,562,517,980
443,395,881,737,17
104,358,784,484,254
463,7,393,616,361
60,773,973,722,236
98,207,571,986,518
937,498,694,735,805
990,512,769,636,616
746,117,214,685,899
170,156,337,966,305
669,19,355,80,542
140,164,628,612,625
817,310,746,155,422
647,499,724,505,731
995,974,457,734,534
541,166,520,903,970
92,402,665,346,273
710,648,779,524,890
379,80,819,849,965
280,320,805,846,868
81,93,38,177,366
790,542,130,706,264
352,895,22,367,485
535,349,484,397,317
597,537,474,790,750
643,16,550,72,28
563,216,945,114,358
506,46,949,438,223
